name f1,E f1,R f1,R _REMOVE_ f1,name f2,E f2,R f2,R _REMOVE_ f2,tau,result
Amir Sadollah,0.6348056973284297,1496.668374846012,1514.4563251911904,Phil Baroni,0.36519430267157027,1448.645010388094,1432.2858901971817,446,2
Ben Saunders,0.40935732549048637,1548.5285112138085,1576.7063207566057,Marcus Davis,0.5906426745095137,1580.3729622986475,1558.680127040434,446,0
Brian Foster,0.37329593832601793,1472.3719361399528,1503.10231913091,Brock Larson,0.6267040616739821,1517.3737850991902,1487.9402071967115,446,0
Caol Uno,0.5138326763478779,1504.8071906859827,1504.187546805228,Fabricio Camoes,0.4861673236521221,,1500.6816819205487,446,3
Forrest Griffin,0.4763992569163629,1563.123216090296,1582.3537680821985,Tito Ortiz,0.5236007430836371,1571.3290518540623,1555.0978647165293,446,2
George Sotiropoulos,0.7260904106674813,1566.7825690925201,1580.0057489392195,Jason Dent,0.27390958933251874,1482.10587621896,1468.8826963722606,446,1
Josh Koscheck,0.5749411022261671,1592.3658189481002,1603.035488747604,Anthony Johnson,0.4250588977738329,1566.1309698440216,1547.0901755434809,446,1
Kendall Grove,0.5207595707501156,1521.4398651229894,1542.1817433369033,Jake Rosholt,0.4792404292498844,1514.2231027504927,1490.8801729825948,446,1
Paulo Thiago,0.5742749451309991,1525.998131772576,1546.7344249767953,Jacob Volkmann,0.4257250548690009,,1479.0200344654697,446,2
Rogerio Nogueira,0.3052257636313383,,1534.23885760677,Luiz Cane,0.6947742363686618,1571.4445033213178,1538.2988859243087,446,0
Brian Stann,0.5197042852529833,1506.8495172014868,1530.2438480068206,Rodney Wallace,0.4802957147470167,,1476.3307622454224,448,2
Frankie Edgar,0.6936343874953931,1595.670465097528,1609.7663409348868,Matt Veach,0.3063656125046069,1524.6923454036878,1509.6697323662388,448,1
James McSweeney,,,1524.6402758007582,Darrill Schoonover,,,1475.3597241992418,448,0
John Howard,0.7970825874811711,1551.300683632714,1561.1844217733474,Dennis Hallman,0.2029174125188289,1432.4638824093736,1422.6679002887695,448,0
Jon Madsen,,,1524.6402758007582,Justin Wren,,,1475.3597241992418,448,2
Kevin Ferguson,0.5834951762815258,,1520.5255874575387,Houston Alexander,0.4165048237184742,1470.7165530818615,1451.155123811832,448,2
Mark Bocek,0.5931463552997541,1532.744731053964,1551.8528862080975,Joe Brammer,0.4068536447002459,,1479.9500279680844,448,1
Matt Hamill,0.500204367621461,1575.14997044373,1575.14997044373,Jon Jones,0.49979563237853897,1575.0789658555516,1575.0789658555516,448,-1
Matt Mitrione,,,1524.6402758007582,Marcus Jones,,,1475.3597241992418,448,0
