age f1,height f1,reach f1,tau,name f1,normal bout,3 rounds,female,male,Catch weight,Strawweight,Flyweight,Bantamweight,Featherweight,Lightweight,Welterweight,Middleweight,Light Heavyweight,Heavyweight,title bout,5 rounds,has title bout f1,has not title bout f1,tot title bout f1,has 5 rounds f1,has not 5 rounds f1,tot 5 rounds f1,has round 1 fought f1,has not round 1 fought f1,tot round 1 fought f1,has round 2 fought f1,has not round 2 fought f1,tot round 2 fought f1,has round 3 fought f1,has not round 3 fought f1,tot round 3 fought f1,has round 4 fought f1,has not round 4 fought f1,tot round 4 fought f1,has round 5 fought f1,has not round 5 fought f1,tot round 5 fought f1,tot r1 time f1,tot r2 time f1,tot r3 time f1,tot r4 time f1,tot r5 time f1,weeks active f1,last fight wa f1,age f2,height f2,reach f2,name f2,has title bout f2,has not title bout f2,tot title bout f2,has 5 rounds f2,has not 5 rounds f2,tot 5 rounds f2,has round 1 fought f2,has not round 1 fought f2,tot round 1 fought f2,has round 2 fought f2,has not round 2 fought f2,tot round 2 fought f2,has round 3 fought f2,has not round 3 fought f2,tot round 3 fought f2,has round 4 fought f2,has not round 4 fought f2,tot round 4 fought f2,has round 5 fought f2,has not round 5 fought f2,tot round 5 fought f2,tot r1 time f2,tot r2 time f2,tot r3 time f2,tot r4 time f2,tot r5 time f2,weeks active f2,last fight wa f2
1248.0,172.72,73.0,558,Felipe Arantes,1,1,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,300.0,300.0,300.0,0.0,0.0,20,20.0,1702.0,175.26,70.0,Antonio Carvalho,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1704.0,187.96,76.0,558,Gabriel Gonzaga,1,1,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,12,1,0,5,1,0,3,0,1,0,0,1,0,2620.0,1198.0,676.0,0.0,0.0,321,64.0,1455.0,195.58,,Ednaldo Oliveira,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1640.0,175.26,71.0,558,Iuri Alcantara,1,1,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,300.0,300.0,300.0,0.0,0.0,20,20.0,1882.0,167.64,68.0,Michihiro Omigawa,0,1,0,0,1,0,1,0,5,1,0,5,1,0,5,0,1,0,0,1,0,1500.0,1500.0,1500.0,0.0,0.0,225,10.0
1322.0,170.18,70.0,558,Jose Aldo,0,0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,1,0,2,600.0,600.0,600.0,600.0,600.0,37,14.0,1393.0,167.64,66.0,Chad Mendes,0,1,0,0,1,0,1,0,2,1,0,2,1,0,2,0,1,0,0,1,0,600.0,600.0,600.0,0.0,0.0,49,23.0
1639.0,177.8,74.0,558,Ricardo Funch,1,1,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,2,1,0,1,0,1,0,0,1,0,600.0,408.0,300.0,0.0,0.0,109,83.0,1895.0,182.88,74.0,Mike Pyle,0,1,0,0,1,0,1,0,7,1,0,5,1,0,4,0,1,0,0,1,0,1920.0,1222.0,1019.0,0.0,0.0,138,23.0
1663.0,172.72,71.0,558,Rousimar Palhares,1,1,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,8,1,0,5,1,0,3,0,1,0,0,1,0,1909.0,1205.0,900.0,0.0,0.0,190,20.0,1523.0,187.96,73.0,Mike Massenzio,0,1,0,0,1,0,1,0,5,1,0,3,1,0,3,0,1,0,0,1,0,1169.0,900.0,790.0,0.0,0.0,174,14.0
1418.0,170.18,70.0,558,Thiago Tavares,1,1,0.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11,1,0,10,1,0,6,0,1,0,0,1,0,3227.0,2345.0,1800.0,0.0,0.0,250,20.0,1446.0,175.26,70.0,Sam Stout,0,1,0,0,1,0,1,0,11,1,0,9,1,0,9,0,1,0,0,1,0,3038.0,2700.0,2700.0,0.0,0.0,306,31.0
1815.0,182.88,74.0,558,Vitor Belfort,1,1,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,3,1,0,8,1,0,3,1,0,3,0,1,0,0,1,0,1515.0,900.0,900.0,0.0,0.0,499,23.0,1453.0,187.96,78.0,Anthony Johnson,0,1,0,0,1,0,1,0,10,1,0,5,1,0,3,0,1,0,0,1,0,2053.0,1372.0,543.0,0.0,0.0,240,15.0
1614.0,177.8,70.0,559,Charlie Brenneman,1,1,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,5,1,0,4,1,0,3,0,1,0,0,1,0,1369.0,940.0,900.0,0.0,0.0,95,16.0,1641.0,177.8,74.0,Daniel Roberts,0,1,0,0,1,0,1,0,6,1,0,3,1,0,3,0,1,0,0,1,0,1319.0,900.0,900.0,0.0,0.0,96,30.0
1380.0,170.18,69.0,559,Daniel Pineda,1,1,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1220.0,172.72,,Pat Schilling,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0
