suffix,vv_size,vv_seed,vv_random_split,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,top_k_feats,n_features,ll7_tv,f1macro7_tv,acc7_tv,ll2_tv,f1macro2_tv,acc2_tv,ll7_vt,f1macro7_vt,acc7_vt,ll2_vt,f1macro2_vt,acc2_vt
natty,0,34,False,5,0.0290932040207878,477,20,2.155855538044705,0.8020068021177811,1,0.0,1.0,88,88,1.594,0.2579,0.3484,0.5876,0.6677,0.6677,1.5688,0.2408,0.3605,0.6339,0.6488,0.6488
natty,0,34,False,5,0.0200599718295581,691,20,2.0089809378074097,0.8,1,0.0,1.0,124,124,1.594,0.2575,0.3482,0.5892,0.6671,0.6671,1.5688,0.2353,0.3569,0.6355,0.6458,0.6458
natty,0,34,False,5,0.0252777889303003,659,20,2.1486903287527497,0.8,1,0.0,1.0,103,103,1.594,0.2557,0.3462,0.5888,0.6646,0.6646,1.5662,0.2398,0.3606,0.6349,0.647,0.6471
natty,0,34,False,5,0.0268989042334969,631,20,2.3944520699149168,0.8,1,0.0,1.0,105,105,1.594,0.2555,0.3473,0.5882,0.6667,0.6667,1.5658,0.2382,0.3582,0.6346,0.6481,0.6481
natty,0,34,False,5,0.0204044600469728,700,20,2.0051461235739505,0.8,1,0.0,1.0,110,110,1.594,0.2551,0.3457,0.5887,0.6641,0.6641,1.5673,0.2402,0.3586,0.635,0.6484,0.6484
natty,0,34,False,5,0.0194981604753894,717,20,2.1829984854528512,0.8,1,0.0,1.0,104,104,1.594,0.2548,0.3455,0.5888,0.6646,0.6646,1.5668,0.2392,0.3584,0.6352,0.6464,0.6464
natty,0,34,False,5,0.0208206375607438,669,20,2.185185660988989,0.8,1,0.0,1.0,95,95,1.594,0.2533,0.3431,0.5882,0.6644,0.6644,1.5668,0.2421,0.3622,0.6347,0.6479,0.6479
natty,0,34,False,5,0.0213297705632016,665,20,2.045456241801775,0.8,1,0.0,1.0,97,97,1.594,0.2532,0.3439,0.5889,0.6654,0.6654,1.5671,0.2395,0.359,0.6349,0.6473,0.6473
natty,0,34,False,5,0.0221823420823881,700,20,2.427239927330483,0.8,1,0.0,1.0,95,95,1.594,0.2528,0.3449,0.5888,0.6684,0.6684,1.5668,0.2393,0.3599,0.6346,0.6483,0.6483
natty,0,34,False,5,0.0278996568853133,446,21,2.393313935885,0.8059385532789325,1,0.0,1.0,97,97,1.5941,0.2553,0.3458,0.5883,0.6673,0.6673,1.5672,0.2362,0.3568,0.6345,0.6475,0.6476
natty,0,34,False,5,0.0247668510284744,485,21,2.173670189652349,0.8314827240505885,1,0.0,1.0,83,83,1.5941,0.2553,0.3445,0.5881,0.6628,0.6628,1.5668,0.2391,0.3587,0.634,0.6454,0.6454
natty,0,34,False,5,0.0242152930969338,464,19,2.288697782858256,0.8220521743200141,1,0.0,1.0,76,76,1.5941,0.2531,0.3445,0.5885,0.665,0.665,1.5683,0.2369,0.3569,0.6347,0.643,0.643
natty,0,34,False,5,0.0217805461769215,677,20,2.1074942996262167,0.8,1,0.0,1.0,95,95,1.5941,0.252,0.3422,0.5887,0.6649,0.6649,1.5669,0.2423,0.3625,0.6351,0.6483,0.6483
natty,0,34,False,5,0.0218340450985343,491,20,2.215972509321058,0.7791229140198042,1,0.0,1.0,93,93,1.5942,0.2547,0.3452,0.5889,0.6668,0.6668,1.5684,0.239,0.3577,0.6352,0.6452,0.6452
natty,0,34,False,5,0.0230424224295953,557,20,2.215972509321058,0.8,1,0.0,1.0,69,69,1.5942,0.2539,0.3443,0.588,0.6683,0.6683,1.5706,0.2384,0.3603,0.6357,0.6415,0.6415
natty,0,34,False,5,0.0279903868834662,589,19,2.2679449833787,0.8261192063452101,1,0.0,1.0,104,104,1.5943,0.2552,0.3464,0.588,0.6659,0.6659,1.5684,0.2383,0.3576,0.6343,0.647,0.6471
natty,0,34,False,5,0.0198242799368681,705,20,2.04991844553959,0.8,1,0.0,1.0,103,103,1.5943,0.2544,0.3448,0.5889,0.6642,0.6642,1.567,0.2392,0.3596,0.6352,0.6452,0.6452
natty,0,34,False,5,0.0253547767204853,467,21,2.307171576263302,0.7814223458062918,1,0.0,1.0,81,81,1.5943,0.2538,0.3425,0.5888,0.6665,0.6665,1.5686,0.2386,0.3588,0.6345,0.642,0.642
natty,0,34,False,5,0.022384634475148,631,20,2.439750397944035,0.8,1,0.0,1.0,82,82,1.5943,0.2537,0.3436,0.5886,0.667,0.667,1.5682,0.2412,0.3623,0.6353,0.6406,0.6407
natty,0,34,False,5,0.0228093450968738,563,18,2.40109849037702,0.757455064367977,1,0.0,1.0,120,120,1.5944,0.2548,0.3444,0.5891,0.6672,0.6672,1.5705,0.2363,0.3547,0.6355,0.6416,0.6417
natty,0,34,False,5,0.0296990985216199,650,20,2.106169555339138,0.8,1,0.0,1.0,58,58,1.5944,0.2528,0.3412,0.5869,0.6661,0.6661,1.5707,0.2398,0.3618,0.6351,0.6425,0.6425
natty,0,34,False,5,0.0261353683845546,448,20,2.30844371818381,0.7904868154084524,1,0.0,1.0,52,52,1.5945,0.2539,0.3427,0.5869,0.668,0.668,1.5713,0.2403,0.3597,0.6348,0.642,0.642
natty,0,34,False,5,0.0249517691011127,410,20,2.454660201039391,0.8,1,0.0,1.0,66,66,1.5945,0.253,0.3429,0.588,0.6677,0.6677,1.5688,0.2376,0.3578,0.6347,0.6418,0.6418
natty,0,34,False,5,0.0271465192622235,508,21,2.3292358148084915,0.8174658054136338,1,0.0,1.0,101,101,1.5946,0.2569,0.3466,0.5882,0.6665,0.6666,1.5663,0.2384,0.3589,0.6334,0.6485,0.6486
natty,0,34,False,6,0.0210532591081836,678,20,2.490050716687132,0.8,1,0.0,1.0,94,94,1.5946,0.2542,0.3446,0.5892,0.6668,0.6668,1.57,0.2369,0.3574,0.6353,0.6465,0.6465
natty,0,34,False,5,0.0219598286241914,413,19,2.194338644844741,0.7771349031773895,1,0.0,1.0,108,108,1.5946,0.254,0.3437,0.5898,0.6657,0.6657,1.5673,0.2354,0.3548,0.635,0.6458,0.6458
