upp_low,temp_f_id,name f1,name f2,tau
1,128,Jeff Curran,Matt Serra,143
1,127,Jorge Rivera,Lee Murray,143
0,126,Josh Thomson,Hermes Franca,143
1,125,Karo Parisyan,Georges St-Pierre,143
0,127,Lee Murray,Jorge Rivera,143
1,123,Matt Hughes,BJ Penn,143
0,128,Matt Serra,Jeff Curran,143
1,130,Randy Couture,Vitor Belfort,143
0,129,Renato Verissimo,Carlos Newton,143
0,130,Vitor Belfort,Randy Couture,143
1,124,Wes Sims,Frank Mir,143
0,131,Andrei Arlovski,Wesley Correira,152
0,132,Chris Lytle,Tiki Ghosn,152
0,133,Chuck Liddell,Tito Ortiz,152
0,134,Genki Sudo,Mike Brown,152
1,138,Hermes Franca,Yves Edwards,152
0,135,Jonathan Wiezorek,Wade Shipp,152
1,134,Mike Brown,Genki Sudo,152
0,136,Mike Kyle,Wes Sims,152
0,137,Nick Diaz,Robbie Lawler,152
1,137,Robbie Lawler,Nick Diaz,152
1,132,Tiki Ghosn,Chris Lytle,152
1,133,Tito Ortiz,Chuck Liddell,152
1,135,Wade Shipp,Jonathan Wiezorek,152
1,136,Wes Sims,Mike Kyle,152
1,131,Wesley Correira,Andrei Arlovski,152
0,138,Yves Edwards,Hermes Franca,152
1,146,Curtis Stout,Trevor Prangley,163
1,141,Dennis Hallman,Frank Trigg,163
0,139,Evan Tanner,Phil Baroni,163
0,140,Frank Mir,Tim Sylvia,163
0,141,Frank Trigg,Dennis Hallman,163
0,142,Georges St-Pierre,Jay Hieron,163
1,145,Ivan Menjivar,Matt Serra,163
1,142,Jay Hieron,Georges St-Pierre,163
0,143,Ken Shamrock,Kimo Leopoldo,163
1,143,Kimo Leopoldo,Ken Shamrock,163
0,144,Matt Hughes,Renato Verissimo,163
0,145,Matt Serra,Ivan Menjivar,163
1,139,Phil Baroni,Evan Tanner,163
1,144,Renato Verissimo,Matt Hughes,163
1,140,Tim Sylvia,Frank Mir,163
0,146,Trevor Prangley,Curtis Stout,163
0,147,Chris Lytle,Ronald Jhun,172
0,148,Chuck Liddell,Vernon White,172
0,149,David Terrell,Matt Lindland,172
1,150,Joe Doerksen,Joe Riggs,172
0,150,Joe Riggs,Joe Doerksen,172
1,154,Josh Thomson,Yves Edwards,172
0,151,Justin Eilers,Mike Kyle,172
0,152,Karo Parisyan,Nick Diaz,172
1,149,Matt Lindland,David Terrell,172
1,151,Mike Kyle,Justin Eilers,172
1,152,Nick Diaz,Karo Parisyan,172
0,153,Randy Couture,Vitor Belfort,172
1,147,Ronald Jhun,Chris Lytle,172
1,148,Vernon White,Chuck Liddell,172
1,153,Vitor Belfort,Randy Couture,172
0,154,Yves Edwards,Josh Thomson,172
0,155,Evan Tanner,Robbie Lawler,181
0,156,Frank Trigg,Renato Verissimo,181
1,158,Georges St-Pierre,Matt Hughes,181
0,157,Ivan Salaverry,Tony Fryklund,181
1,159,Jorge Rivera,Rich Franklin,181
1,161,Marvin Eastman,Travis Lutter,181
0,158,Matt Hughes,Georges St-Pierre,181
1,160,Patrick Cote,Tito Ortiz,181
1,156,Renato Verissimo,Frank Trigg,181
0,159,Rich Franklin,Jorge Rivera,181
1,155,Robbie Lawler,Evan Tanner,181
0,160,Tito Ortiz,Patrick Cote,181
1,157,Tony Fryklund,Ivan Salaverry,181
0,161,Travis Lutter,Marvin Eastman,181
0,162,Andrei Arlovski,Tim Sylvia,196
1,165,Chris Lytle,Karo Parisyan,196
0,163,David Loiseau,Gideon Ray,196
1,164,David Terrell,Evan Tanner,196
1,167,Drew Fickett,Nick Diaz,196
0,164,Evan Tanner,David Terrell,196
1,163,Gideon Ray,David Loiseau,196
1,166,James Irvin,Mike Kyle,196
1,168,Justin Eilers,Paul Buentello,196
0,165,Karo Parisyan,Chris Lytle,196
0,166,Mike Kyle,James Irvin,196
0,167,Nick Diaz,Drew Fickett,196
0,168,Paul Buentello,Justin Eilers,196
0,169,Pete Sell,Phil Baroni,196
1,169,Phil Baroni,Pete Sell,196
1,162,Tim Sylvia,Andrei Arlovski,196
0,170,Tito Ortiz,Vitor Belfort,196
1,170,Vitor Belfort,Tito Ortiz,196
0,171,Alex Karalexis,Josh Rafferty,205
1,176,Alex Schoenauer,Mike Swick,205
1,179,Bobby Southworth,Sam Hoger,205
0,172,Chris Leben,Jason Thacker,205
1,175,Chris Sanford,Josh Koscheck,205
0,173,Diego Sanchez,Kenny Florian,205
0,174,Forrest Griffin,Stephan Bonnar,205
1,172,Jason Thacker,Chris Leben,205
0,175,Josh Koscheck,Chris Sanford,205
1,171,Josh Rafferty,Alex Karalexis,205
1,178,Ken Shamrock,Rich Franklin,205
1,173,Kenny Florian,Diego Sanchez,205
1,177,Lodune Sincaid,Nate Quarry,205
0,176,Mike Swick,Alex Schoenauer,205
0,177,Nate Quarry,Lodune Sincaid,205
0,178,Rich Franklin,Ken Shamrock,205
0,179,Sam Hoger,Bobby Southworth,205
1,174,Stephan Bonnar,Forrest Griffin,205
0,180,Chuck Liddell,Randy Couture,206
1,184,Frank Trigg,Matt Hughes,206
0,181,Georges St-Pierre,Jason Miller,206
0,182,Ivan Salaverry,Joe Riggs,206
1,181,Jason Miller,Georges St-Pierre,206
0,183,Joe Doerksen,Patrick Cote,206
1,182,Joe Riggs,Ivan Salaverry,206
1,186,John Marsh,Mike van Arsdale,206
0,184,Matt Hughes,Frank Trigg,206
0,185,Matt Lindland,Travis Lutter,206
0,186,Mike van Arsdale,John Marsh,206
1,183,Patrick Cote,Joe Doerksen,206
1,180,Randy Couture,Chuck Liddell,206
0,187,Renato Sobral,Travis Wiuff,206
1,185,Travis Lutter,Matt Lindland,206
